,precision,recall,f1-score,support
Pepper__bell___Bacterial_spot,0.6141078838174274,0.9932885906040269,0.7589743589743589,149.0
Pepper__bell___healthy,0.9901960784313726,0.9140271493212669,0.9505882352941176,221.0
Potato___Early_blight,0.9448275862068966,0.9133333333333333,0.9288135593220339,150.0
Potato___Late_blight,0.87248322147651,0.8666666666666667,0.8695652173913043,150.0
Potato___healthy,0.23711340206185566,1.0,0.38333333333333336,23.0
Tomato_Bacterial_spot,0.9333333333333333,0.8338557993730408,0.8807947019867549,319.0
Tomato_Early_blight,0.5976331360946746,0.6733333333333333,0.6332288401253918,150.0
Tomato_Late_blight,0.8695652173913043,0.7665505226480837,0.8148148148148148,287.0
Tomato_Leaf_Mold,0.7073170731707317,0.8111888111888111,0.755700325732899,143.0
Tomato_Septoria_leaf_spot,0.7981651376146789,0.6541353383458647,0.71900826446281,266.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.7852112676056338,0.8849206349206349,0.832089552238806,252.0
Tomato__Target_Spot,0.6991150442477876,0.7523809523809524,0.7247706422018348,210.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9859484777517564,0.8734439834024896,0.9262926292629263,482.0
Tomato__Tomato_mosaic_virus,0.8518518518518519,0.8214285714285714,0.8363636363636363,56.0
Tomato_healthy,0.9944444444444445,0.7521008403361344,0.8564593301435407,238.0
accuracy,0.8217054263565892,0.8217054263565892,0.8217054263565892,0.8217054263565892
macro avg,0.7920875437000172,0.8340436351522139,0.7913864961099041,3096.0
weighted avg,0.8537091321435095,0.8217054263565892,0.8300732651595658,3096.0
overall_accuracy,0.8217054263565892,0.8217054263565892,0.8217054263565892,0.8217054263565892
