Experiment,Best Validation Accuracy,Test Accuracy,Macro F1,Weighted F1
Phase 1 - Frozen Backbone,0.821059,0.8217054263565892,0.7913864961099041,0.8300732651595658
Phase 2 - Full Fine-Tuning,0.976744,0.9738372093023255,0.9718022178503153,0.9737210256824298
