Experiment,Best Validation Accuracy,Test Accuracy,Macro F1,Weighted F1
Phase 1 - Frozen Backbone,0.8211,0.8217,0.7914,0.8301
Phase 2 - Full Fine-Tuning,0.9767,0.9738,0.9718,0.9737
